,Player,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
0,Mark Sanchez,2011,QB,Offense,NYJ,"$14,225,000",$0,"$17,228,125",0.134,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
1,Dwight Freeney,2011,OLB,Defense,IND,"$11,420,000","$2,500,000","$16,420,000",0.134,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
2,Larry Fitzgerald,2011,WR,Offense,ARI,"$2,000,000","$5,000,000","$16,250,000",0.133,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
3,Mario Williams,2011,DE,Defense,HOU,"$13,800,000",$0,"$16,200,000",0.135,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
4,Peyton Manning,2011,QB,Offense,IND,"$3,400,000","$4,000,000","$16,000,000",0.13,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
5,Joe Thomas,2011,LT,Offense,CLE,"$8,000,000","$2,260,000","$15,960,000",0.123,AFC,AFC North,4,12,0,0.25,4,218,307,-89,0.3125,0.53125,No,No
6,Elvis Dumervil,2011,OLB,Defense,DEN,"$14,000,000","$500,000","$15,623,000",0.107,AFC,AFC West,8,8,0,0.5,1,309,390,-81,0.445312,0.519531,Yes,No
7,Michael Vick,2011,QB,Offense,PHI,"$10,000,000","$1,400,000","$14,400,000",0.11,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
8,Calvin Johnson,2011,WR,Offense,DET,"$8,875,000","$2,800,000","$14,175,000",0.117,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
9,Eli Manning,2011,QB,Offense,NYG,"$8,500,000","$2,600,000","$14,100,000",0.116,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
10,Philip Rivers,2011,QB,Offense,LAC/SD,"$8,400,000","$3,910,000","$13,510,000",0.112,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
11,Matt Ryan,2011,QB,Offense,ATL,"$11,250,000","$2,000,000","$13,250,000",0.11,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
12,Adrian Peterson,2011,RB,Offense,MIN,"$8,250,000","$2,900,000","$12,955,000",0.106,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
13,Tom Brady,2011,QB,Offense,NE,"$5,750,000","$3,200,000","$12,950,000",0.102,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
14,Jake Long,2011,LT,Offense,MIA,"$11,200,000",$0,"$12,800,000",0.099,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
