"Rank","Player","Year","Pos","Team","Draft Year","Draft Round","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight (lb)","Height (in)",""
"","Kirk Cousins","2021","QB","MIN","2012","4","$21,000,000","$10,000,000","$31,000,000","0.166","$21,000,000","$33,000,000","2","$66,000,000","$161,669,486","2023","2020","31","33","202","6'3""",""
"","Aaron Rodgers","2021","QB","GB","2005","1","$1,100,000","$16,321,568","$27,073,568","0.145","$22,664,706","$33,500,000","4","$134,000,000","$263,608,010","2024","2018","34","38","225","6'2""",""
"","Matt Ryan","2021","QB","ATL","2008","1","$2,000,000","$9,300,000","$26,912,500","0.146","$23,000,000","$30,000,000","5","$150,000,000","$267,007,749","2024","2018","32","36","217","6'4""",""
"","Jimmy Garoppolo","2021","QB","SF","2014","2","$24,100,000","$1,400,000","$26,400,000","0.135","$25,405,870","$27,500,000","5","$137,500,000","$114,164,507","2023","2018","26","30","225","6'2""",""
"","Ben Roethlisberger","2021","QB","PIT","2004","1","$1,075,000","$15,085,000","$25,910,000","0.138","$14,000,000","$14,000,000","1","$14,000,000","$267,286,864","2022","2021","38","39","240","6'5""",""
"","Frank Clark","2021","DE","KC","2015","2","$18,500,000","$5,200,000","$25,800,000","0.137","$19,000,000","$20,800,000","5","$104,000,000","$69,027,184","2024","2019","25","28","260","6'3""",""
"","DeMarcus Lawrence","2021","DE","DAL","2014","2","$17,000,000","$5,000,000","$25,000,000","0.119","$17,000,000","$21,000,000","5","$105,000,000","$87,349,519","2024","2019","26","29","265","6'3""",""
"","Derek Carr","2021","QB","LV","2014","2","$19,525,000","$2,500,000","$22,125,000","0.116","$19,625,000","$25,000,000","5","$125,000,000","$110,666,395","2023","2017","25","30","210","6'3""",""
"","Amari Cooper","2021","WR","DAL","2015","1","$20,000,000","$2,000,000","$22,000,000","0.105","$20,000,000","$20,000,000","5","$100,000,000","$76,672,334","2025","2020","25","27","210","6'1""",""
"","Carson Wentz","2021","QB","IND","2016","1","$15,400,000","$0","$21,305,882","0.112","$21,305,882","$32,000,000","4","$128,000,000","$100,365,221","2025","2019","26","29","237","6'5""",""
