Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap_Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
Mark Sanchez,25,2011,QB,Offense,NYJ,14225000,0,17228125,0.134,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
Dwight Freeney,31,2011,OLB,Defense,IND,11420000,2500000,16420000,0.134,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
Larry Fitzgerald,28,2011,WR,Offense,ARI,2000000,5000000,16250000,0.133,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
Mario Williams,26,2011,DE,Defense,HOU,13800000,0,16200000,0.135,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
Peyton Manning,35,2011,QB,Offense,IND,3400000,4000000,16000000,0.13,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
Joe Thomas,27,2011,LT,Offense,CLE,8000000,2260000,15960000,0.123,AFC,AFC North,4,12,0,0.25,4,218,307,-89,0.3125,0.53125,No,No
Elvis Dumervil,27,2011,OLB,Defense,DEN,14000000,500000,15623000,0.107,AFC,AFC West,8,8,0,0.5,1,309,390,-81,0.445312,0.519531,Yes,No
Michael Vick,31,2011,QB,Offense,PHI,10000000,1400000,14400000,0.11,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
Calvin Johnson,26,2011,WR,Offense,DET,8875000,2800000,14175000,0.117,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
Eli Manning,30,2011,QB,Offense,NYG,8500000,2600000,14100000,0.116,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
Philip Rivers,30,2011,QB,Offense,LAC/SD,8400000,3910000,13510000,0.112,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
Matt Ryan,26,2011,QB,Offense,ATL,11250000,2000000,13250000,0.11,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
Adrian Peterson,26,2011,RB,Offense,MIN,8250000,2900000,12955000,0.106,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
Tom Brady,34,2011,QB,Offense,NE,5750000,3200000,12950000,0.102,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
Jake Long,26,2011,LT,Offense,MIA,11200000,0,12800000,0.099,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
Drew Brees,32,2011,QB,Offense,NO,7393500,0,12574700,0.101,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
Paul Soliai,28,2011,DT,Defense,MIA,12476000,0,12476000,0.097,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
