Year,BaseSalary,SigningBonus,Cap_Hit,Salary%,Win%,Playoff,Won_Superbowl
2011,14225000,0,17228125,0.134,0.5,No,No
2011,11420000,2500000,16420000,0.134,0.125,No,No
2011,2000000,5000000,16250000,0.133,0.5,No,No
2011,13800000,0,16200000,0.135,0.625,Yes,No
2011,3400000,4000000,16000000,0.13,0.125,No,No
2011,8000000,2260000,15960000,0.123,0.25,No,No
2011,14000000,500000,15623000,0.107,0.5,Yes,No
2011,10000000,1400000,14400000,0.11,0.5,No,No
2011,8875000,2800000,14175000,0.117,0.625,Yes,No
2011,8500000,2600000,14100000,0.116,0.5625,Yes,Yes
2011,8400000,3910000,13510000,0.112,0.5,No,No
2011,11250000,2000000,13250000,0.11,0.625,Yes,No
2011,8250000,2900000,12955000,0.106,0.1875,No,No
2011,5750000,3200000,12950000,0.102,0.8125,Yes,No
2011,11200000,0,12800000,0.099,0.375,No,No
2011,7393500,0,12574700,0.101,0.8125,Yes,No
2011,12476000,0,12476000,0.097,0.375,No,No
2011,450000,3595000,12465000,0.101,0.125,No,No
2011,1239706,0,11904706,0.098,0.625,Yes,No
2011,8025000,1200000,11825000,0.092,0.5,No,No
2011,8500000,0,11767500,0.095,0.125,No,No
2011,8979438,2583344,11762782,0.096,0.1875,No,No
2011,11424000,0,11424000,0.095,0.5,No,No
2011,1000000,0,11415000,0.093,0.5,No,No
2011,1790000,0,11340000,0.079,0.4375,No,No
2011,6000000,4200000,11320000,0.094,0.75,Yes,No
2011,6000000,783416,11265916,0.088,0.5,No,No
2011,6500000,0,11000000,0.075,0.5,Yes,No
2011,7045000,0,10873833,0.088,0.5,No,No
2011,6500000,1100000,10800000,0.084,0.375,No,No
2011,10000000,358200,10358200,0.086,0.5,No,No
2011,8000000,2083333,10083333,0.084,0.625,Yes,No
2011,3400000,2020000,10020000,0.079,0.75,Yes,No
2011,4000000,6000000,10000000,0.081,0.375,No,No
2011,6000000,1000000,10000000,0.081,0.375,No,No
2011,8000000,2000000,10000000,0.073,0.5,No,No
2011,1000000,0,10000000,0.076,0.5,No,No
2011,7000000,1550000,9993750,0.081,0.375,No,No
2011,5615000,266666,9859166,0.077,0.5,No,No
2011,7600000,1400000,9500000,0.074,0.5,No,No
2011,9500000,0,9500000,0.066,0.25,No,No
2011,1235000,0,9482500,0.077,0.125,No,No
2011,7200000,2279000,9479000,0.077,0.125,No,No
2011,6777500,0,9420000,0.077,0.5,No,No
2011,6244117,1000000,9244117,0.075,0.375,No,No
2011,5700000,750000,9000000,0.075,0.625,Yes,No
2011,1400000,280000,8880000,0.063,0.4375,No,No
2011,7379000,0,8879000,0.062,0.4375,No,No
2011,6500000,1071428,8871428,0.07,0.75,Yes,No
2011,7850000,0,8787500,0.07,0.9375,Yes,No
2011,5750000,1000000,8734375,0.073,0.625,Yes,No
2011,1677500,0,8686750,0.064,0.5625,Yes,No
2011,3391000,3700000,8591000,0.063,0.5,No,No
2011,7200000,333333,8533333,0.059,0.25,No,No
2011,6250000,1666667,8516667,0.066,0.25,No,No
2011,5000000,2750000,8450000,0.062,0.8125,Yes,No
2011,3690000,2000000,8390000,0.062,0.5625,Yes,No
2011,8290000,0,8290000,0.058,0.25,No,No
2011,3450000,4832500,8282500,0.069,0.75,Yes,No
2011,5950000,2083333,8273333,0.067,0.125,No,No
2011,6000000,2000000,8150000,0.065,0.8125,Yes,No
2011,900000,0,8000000,0.06,0.3125,No,No
2011,5500000,2500000,8000000,0.067,0.625,Yes,No
2011,6500000,0,8000000,0.062,0.5625,No,No
2011,6004470,500000,7984863,0.06,0.3125,No,No
2011,5500000,1400000,7900000,0.066,0.625,Yes,No
2011,3950000,2812500,7827500,0.062,0.9375,Yes,No
2011,5130000,2082500,7812500,0.063,0.8125,Yes,No
2011,5215000,833333,7804333,0.058,0.3125,No,No
2011,7250000,0,7750000,0.062,0.9375,Yes,No
2011,4200000,1833333,7723333,0.063,0.125,No,No
2011,4500000,3200000,7700000,0.063,0.375,No,No
2011,1100000,2600000,7700000,0.064,0.75,Yes,No
2011,450000,0,7652700,0.053,0.4375,No,No
2011,6000000,1531250,7531250,0.06,0.75,Yes,No
2011,5000000,2500000,7500000,0.062,0.625,Yes,No
2011,910000,0,7478000,0.061,0.5,No,No
2011,6000000,0,7416666,0.061,0.1875,No,No
2011,5400000,2000000,7400000,0.06,0.375,No,No
2011,4400000,1000000,7400000,0.059,0.75,Yes,No
2011,5250000,1700000,7200000,0.059,0.5625,Yes,Yes
2011,5500000,1700000,7200000,0.059,0.1875,No,No
2011,4900000,2100000,7100000,0.053,0.3125,No,No
2011,2100000,5000000,7100000,0.056,0.75,Yes,No
2011,3910000,2166667,7076667,0.059,0.75,Yes,No
2011,4750000,200000,7075000,0.049,0.4375,No,No
2011,3900000,1300000,7033000,0.051,0.8125,Yes,No
2011,5900000,1000000,7000000,0.053,0.5,No,No
2011,4708000,1666666,6974666,0.051,0.8125,Yes,No
2011,1150000,1600000,6921250,0.055,0.9375,Yes,No
2011,3875000,0,6875000,0.052,0.5,No,No
2011,5037500,1800000,6837500,0.051,0.5625,Yes,No
2011,5900000,292000,6834000,0.052,0.5,No,No
2011,4650000,2000000,6750000,0.056,0.5625,Yes,Yes
2011,6750000,0,6750000,0.055,0.1875,No,No
2011,6680000,0,6730000,0.055,0.1875,No,No
2011,5450000,0,6723176,0.055,0.625,Yes,No
2011,450000,0,6575000,0.053,0.5,No,No
2011,1594455,3543333,6538413,0.048,0.8125,Yes,No
2011,4000000,1200000,6525000,0.054,0.625,Yes,No
2011,3700000,2250000,6500000,0.054,0.5625,Yes,Yes
2011,5000000,1500000,6500000,0.051,0.5625,No,No
2011,1300000,2611335,6494668,0.054,0.625,Yes,No
2011,685000,4000000,6488000,0.047,0.5,No,No
2011,4082250,0,6419250,0.045,0.4375,No,No
2011,810000,1916000,6410499,0.047,0.5,No,No
2011,3000000,2050002,6370002,0.05,0.5625,No,No
2011,3500000,875000,6345000,0.052,0.5625,Yes,Yes
2011,5200000,1130000,6330000,0.051,0.125,No,No
2011,4000000,2200000,6200000,0.05,0.125,No,No
2011,3000000,1666667,6183333,0.044,0.4375,No,No
2011,4900000,250000,6150000,0.042,0.5,Yes,No
2011,3700000,500000,6133333,0.046,0.3125,No,No
2011,525000,0,6123750,0.05,0.625,Yes,No
2011,855000,1833333,6118333,0.048,0.5,No,No
2011,5750000,0,6093750,0.049,0.9375,Yes,No
2011,600000,3200000,6075000,0.048,0.8125,Yes,No
2011,4050000,1800000,6000000,0.04,0.3125,No,No
2011,6000000,0,6000000,0.042,0.25,No,No
2011,3950000,1833333,5983333,0.044,0.5625,Yes,No
2011,5200000,762500,5962500,0.05,0.5,No,No
2011,4745000,1000000,5745000,0.047,0.125,No,No
2011,4485000,0,5725000,0.045,0.75,Yes,No
2011,1040000,4000000,5724168,0.047,0.375,No,No
2011,4700000,1000000,5700000,0.044,0.5625,No,No
2011,3220000,2390000,5610000,0.04,0.375,No,No
2011,1000000,2000000,5600000,0.045,0.9375,Yes,No
2011,4100000,0,5600000,0.045,0.9375,Yes,No
2011,4500000,1025000,5600000,0.047,0.5,No,No
2011,2350000,0,5600000,0.046,0.5,No,No
2011,4700000,0,5600000,0.046,0.1875,No,No
2011,450000,100000,5551250,0.046,0.625,Yes,No
2011,3782000,0,5532000,0.044,0.8125,Yes,No
2011,1500000,4000000,5500000,0.043,0.8125,Yes,No
2011,4500000,1000000,5500000,0.046,0.625,Yes,No
2011,4500000,1000000,5500000,0.043,0.5625,No,No
2011,450000,0,5473625,0.045,0.75,Yes,No
2011,1400000,1000000,5400000,0.04,0.5625,Yes,No
2011,3200000,600000,5400000,0.039,0.375,No,No
2011,4087500,1250000,5387500,0.044,0.5,No,No
2011,1000000,2000000,5378750,0.045,0.75,Yes,No
2011,3200000,1800000,5300000,0.04,0.3125,No,No
2011,1000000,300000,5300000,0.04,0.5,No,No
2011,1176470,2000000,5291470,0.044,0.75,Yes,No
2011,2260000,3007100,5267100,0.041,0.5,No,No
2011,3500000,1080000,5265000,0.042,0.75,Yes,No
2011,3700000,1500000,5250000,0.041,0.375,No,No
2011,1625000,3600000,5225000,0.038,0.5,No,No
2011,2700000,800000,5225000,0.04,0.375,No,No
2011,3000000,2000000,5200000,0.042,0.8125,Yes,No
2011,3900000,1166667,5166667,0.043,0.5,No,No
2011,3875000,770443,5145443,0.038,0.8125,Yes,No
2011,3400000,1416666,5116666,0.04,0.5,No,No
2011,1600000,2500000,5100000,0.042,0.625,Yes,No
2011,3450000,1500000,5100000,0.042,0.5625,Yes,Yes
2011,5050000,0,5050000,0.041,0.1875,No,No
2011,4200000,750000,5000000,0.033,0.3125,No,No
