Position,Players,Cp Dollars,% of Cap,NFL Rank,Team,Year
Quarterback,2,"$6,779,898 ",3.44%,29,Miami Dolphins,2019
Running Back,5,"$1,996,518 ",1.01%,31,Miami Dolphins,2019
Wide Receiver,10,"$21,053,505 ",10.68%,12,Miami Dolphins,2019
Tight End,3,"$2,611,944 ",1.32%,31,Miami Dolphins,2019
Offensive Line,11,"$10,150,599 ",5.15%,32,Miami Dolphins,2019
Defensive Line,11,"$10,440,743 ",5.30%,29,Miami Dolphins,2019
Linebacker,11,"$6,177,088 ",3.13%,30,Miami Dolphins,2019
Secondary,18,"$47,153,236 ",23.92%,3,Miami Dolphins,2019
Special Teams,3,"$1,809,134 ",0.92%,30,Miami Dolphins,2019
Quarterback,3,"$13,548,743 ",6.22%,20,Miami Dolphins,2020
Running Back,7,"$6,836,096 ",3.14%,19,Miami Dolphins,2020
Wide Receiver,7,"$11,976,716 ",5.50%,28,Miami Dolphins,2020
Tight End,3,"$4,315,625 ",1.98%,29,Miami Dolphins,2020
Offensive Line,9,"$25,442,931 ",11.69%,27,Miami Dolphins,2020
Defensive Line,9,"$27,061,045 ",12.43%,19,Miami Dolphins,2020
Linebacker,8,"$21,189,495 ",9.73%,15,Miami Dolphins,2020
Secondary,11,"$49,720,619 ",22.84%,2,Miami Dolphins,2020
Special Teams,3,"$3,563,412 ",1.64%,24,Miami Dolphins,2020
Quarterback,2,"$11,880,781 ",6.03%,18,Miami Dolphins,2021
Running Back,7,"$6,014,965 ",3.05%,22,Miami Dolphins,2021
Wide Receiver,8,"$38,128,070 ",19.34%,1,Miami Dolphins,2021
Tight End,5,"$10,306,589 ",5.23%,8,Miami Dolphins,2021
Offensive Line,10,"$16,007,816 ",8.12%,31,Miami Dolphins,2021
Defensive Line,8,"$23,243,047 ",11.79%,18,Miami Dolphins,2021
Linebacker,8,"$10,775,383 ",5.46%,28,Miami Dolphins,2021
Secondary,14,"$48,102,129 ",24.39%,1,Miami Dolphins,2021
Special Teams,3,"$5,320,412 ",2.70%,12,Miami Dolphins,2021
Quarterback,1,"$8,256,938 ",3.92%,27,Miami Dolphins,2022
Running Back,3,"$4,329,823 ",2.06%,23,Miami Dolphins,2022
Wide Receiver,5,"$19,508,352 ",9.27%,20,Miami Dolphins,2022
Tight End,3,"$5,839,056 ",2.77%,21,Miami Dolphins,2022
Offensive Line,11,"$21,053,475 ",10.01%,27,Miami Dolphins,2022
Defensive Line,6,"$17,190,805 ",8.17%,27,Miami Dolphins,2022
