,Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
11469,Joe Flacco,32,2017,QB,Offense,BAL,6000000,13800000,24550000,0.15,AFC,AFC North,9,7,0,0.5625,2,395,303,92,0.298611,0.441406,No,No
11470,Carson Palmer,38,2017,QB,Offense,ARI,15500000,4250000,24125000,0.14,NFC,NFC West,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,No,No
11471,Kirk Cousins,29,2017,QB,Offense,WAS,23943600,0,23943600,0.136,NFC,NFC East,7,9,0,0.4375,3,342,388,-46,0.428571,0.539062,No,No
11472,Matt Ryan,32,2017,QB,Offense,ATL,15750000,5600000,23750000,0.141,NFC,NFC South,10,6,0,0.625,3,353,315,38,0.475,0.542969,Yes,No
11473,Justin Houston,28,2017,OLB,Defense,KC,16350000,4100000,22100000,0.13,AFC,AFC West,10,6,0,0.625,1,415,339,76,0.48125,0.476562,Yes,No
11474,Ryan Tannehill,29,2017,QB,Offense,MIA,17975000,2300000,20300000,0.118,AFC,AFC East,6,10,0,0.375,3,281,393,-112,0.53125,0.542969,No,No
11475,Aaron Rodgers,34,2017,QB,Offense,GB,12550000,6650000,20300000,0.116,NFC,NFC North,7,9,0,0.4375,3,320,384,-64,0.357143,0.539062,No,No
11476,Cam Newton,28,2017,QB,Offense,CAR,13166666,4500000,20166666,0.112,NFC,NFC South,11,5,0,0.6875,2,363,327,36,0.5,0.539062,Yes,No
11477,Josh Norman,30,2017,CB,Defense,WAS,16500000,3000000,20000000,0.113,NFC,NFC East,7,9,0,0.4375,3,342,388,-46,0.428571,0.539062,No,No
11478,Von Miller,28,2017,OLB,Defense,DEN,16500000,3400000,19900000,0.119,AFC,AFC West,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,No,No
11479,Eli Manning,36,2017,QB,Offense,NYG,13000000,6200000,19700000,0.118,NFC,NFC East,3,13,0,0.1875,4,246,388,-142,0.458333,0.53125,No,No
11480,Andrew Luck,28,2017,QB,Offense,IND,7000000,6400000,19400000,0.111,AFC,AFC South,4,12,0,0.25,3,263,404,-141,0.21875,0.480469,No,No
11481,Ndamukong Suh,30,2017,DT,Defense,MIA,9985000,5100000,19100000,0.111,AFC,AFC East,6,10,0,0.375,3,281,393,-112,0.53125,0.542969,No,No
11482,Drew Brees,38,2017,QB,Offense,NO,13000000,6000000,19000000,0.117,NFC,NFC South,11,5,0,0.6875,1,448,326,122,0.482955,0.535156,Yes,No
11483,Ben Roethlisberger,35,2017,QB,Offense,PIT,12000000,6200000,18200000,0.108,AFC,AFC North,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,Yes,No
11484,Muhammad Wilkerson,28,2017,DE,Defense,NYJ,14750000,3000000,18000000,0.108,AFC,AFC East,5,11,0,0.3125,4,298,382,-84,0.4375,0.519531,No,No
11485,DeAndre Hopkins,25,2017,WR,Offense,HOU,8000000,1500000,18000000,0.104,AFC,AFC South,4,12,0,0.25,4,338,436,-98,0.375,0.515625,No,No
11486,Philip Rivers,36,2017,QB,Offense,LAC/SD,11000000,4500000,18000000,0.106,AFC,AFC West,9,7,0,0.5625,2,355,272,83,0.347222,0.457031,No,No
11487,Sam Bradford,30,2017,QB,Offense,MIN,14000000,0,18000000,0.106,NFC,NFC North,13,3,0,0.8125,1,382,252,130,0.447115,0.492188,Yes,No
11488,Dez Bryant,29,2017,WR,Offense,DAL,13000000,4000000,17000000,0.101,NFC,NFC East,9,7,0,0.5625,2,354,332,22,0.4375,0.496094,No,No
11489,Alex Smith,33,2017,QB,Offense,KC,10800000,3600000,16900000,0.099,AFC,AFC West,10,6,0,0.625,1,415,339,76,0.48125,0.476562,Yes,No
11490,Trumaine Johnson,27,2017,CB,Defense,LAR/STL,16742400,0,16742400,0.103,NFC,NFC West,11,5,0,0.6875,1,478,329,149,0.460227,0.503906,Yes,No
11491,Matthew Stafford,29,2017,QB,Offense,DET,1000000,15500000,16500000,0.098,NFC,NFC North,9,7,0,0.5625,2,410,376,34,0.368056,0.496094,No,No
11492,Olivier Vernon,27,2017,DE,Defense,NYG,11750000,4000000,16000000,0.095,NFC,NFC East,3,13,0,0.1875,4,246,388,-142,0.458333,0.53125,No,No
11493,Larry Fitzgerald,34,2017,WR,Offense,ARI,11000000,2500000,15850000,0.092,NFC,NFC West,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,No,No
11494,Derek Carr,26,2017,QB,Offense,LV/OAK,5000000,3056691,15731691,0.09,AFC,AFC West,6,10,0,0.375,3,301,373,-72,0.395833,0.511719,No,No
