,Player,Year,Pos,Team,BaseSalary,SigningBonus,Cap Hit,Salary%
0,Mark Sanchez,2011,QB,NYJ,"$14,225,000",$0,"$17,228,125",0.134
1,Dwight Freeney,2011,OLB,IND,"$11,420,000","$2,500,000","$16,420,000",0.134
2,Larry Fitzgerald,2011,WR,ARI,"$2,000,000","$5,000,000","$16,250,000",0.133
3,Mario Williams,2011,DE,HOU,"$13,800,000",$0,"$16,200,000",0.135
4,Peyton Manning,2011,QB,IND,"$3,400,000","$4,000,000","$16,000,000",0.13
5,Joe Thomas,2011,LT,CLE,"$8,000,000","$2,260,000","$15,960,000",0.123
6,Elvis Dumervil,2011,OLB,DEN,"$14,000,000","$500,000","$15,623,000",0.107
7,Michael Vick,2011,QB,PHI,"$10,000,000","$1,400,000","$14,400,000",0.11
8,Calvin Johnson,2011,WR,DET,"$8,875,000","$2,800,000","$14,175,000",0.117
9,Eli Manning,2011,QB,NYG,"$8,500,000","$2,600,000","$14,100,000",0.116
10,Philip Rivers,2011,QB,LAC/SD,"$8,400,000","$3,910,000","$13,510,000",0.112
11,Matt Ryan,2011,QB,ATL,"$11,250,000","$2,000,000","$13,250,000",0.11
12,Adrian Peterson,2011,RB,MIN,"$8,250,000","$2,900,000","$12,955,000",0.106
13,Tom Brady,2011,QB,NE,"$5,750,000","$3,200,000","$12,950,000",0.102
14,Jake Long,2011,LT,MIA,"$11,200,000",$0,"$12,800,000",0.099
15,Drew Brees,2011,QB,NO,"$7,393,500",$0,"$12,574,700",0.101
16,Paul Soliai,2011,DT,MIA,"$12,476,000",$0,"$12,476,000",0.097
17,Sam Bradford,2011,QB,LAR/STL,"$450,000","$3,595,000","$12,465,000",0.101
18,Ndamukong Suh,2011,DT,DET,"$1,239,706",$0,"$11,904,706",0.098
19,Brian Urlacher,2011,LB,CHI,"$8,025,000","$1,200,000","$11,825,000",0.092
20,Jason Smith,2011,LT,LAR/STL,"$8,500,000",$0,"$11,767,500",0.095
21,Jared Allen,2011,DE,MIN,"$8,979,438","$2,583,344","$11,762,782",0.096
22,Vincent Jackson,2011,WR,LAC/SD,"$11,424,000",$0,"$11,424,000",0.095
23,Darrius Heyward-Bey,2011,WR,LV/OAK,"$1,000,000",$0,"$11,415,000",0.093
24,Tyson Jackson,2011,DE,KC,"$1,790,000",$0,"$11,340,000",0.079
25,Ben Roethlisberger,2011,QB,PIT,"$6,000,000","$4,200,000","$11,320,000",0.094
26,Darrelle Revis,2011,CB,NYJ,"$6,000,000","$783,416","$11,265,916",0.088
27,Champ Bailey,2011,CB,DEN,"$6,500,000",$0,"$11,000,000",0.075
28,Darren McFadden,2011,RB,LV/OAK,"$7,045,000",$0,"$10,873,833",0.088
29,Brandon Marshall,2011,WR,MIA,"$6,500,000","$1,100,000","$10,800,000",0.084
30,Marcus McNeill,2011,T,LAC/SD,"$10,000,000","$358,200","$10,358,200",0.086
31,John Abraham,2011,OLB,ATL,"$8,000,000","$2,083,333","$10,083,333",0.084
32,Terrell Suggs,2011,OLB,BAL,"$3,400,000","$2,020,000","$10,020,000",0.079
33,Charles Johnson,2011,DE,CAR,"$4,000,000","$6,000,000","$10,000,000",0.081
34,Jordan Gross,2011,LT,CAR,"$6,000,000","$1,000,000","$10,000,000",0.081
35,Terence Newman,2011,CB,DAL,"$8,000,000","$2,000,000","$10,000,000",0.073
36,Nnamdi Asomugha,2011,CB,PHI,"$1,000,000",$0,"$10,000,000",0.076
37,Steve Smith,2011,WR,CAR,"$7,000,000","$1,550,000","$9,993,750",0.081
38,D'Brickashaw Ferguson,2011,LT,NYJ,"$5,615,000","$266,666","$9,859,166",0.077
39,Jay Cutler,2011,QB,CHI,"$7,600,000","$1,400,000","$9,500,000",0.074
40,Davin Joseph,2011,G,TB,"$9,500,000",$0,"$9,500,000",0.066
41,Chris Long,2011,DE,LAR/STL,"$1,235,000",$0,"$9,482,500",0.077
42,Steven Jackson,2011,RB,LAR/STL,"$7,200,000","$2,279,000","$9,479,000",0.077
43,Levi Brown,2011,LT,ARI,"$6,777,500",$0,"$9,420,000",0.077
44,Chris Gamble,2011,CB,CAR,"$6,244,117","$1,000,000","$9,244,117",0.075
45,Matt Schaub,2011,QB,HOU,"$5,700,000","$750,000","$9,000,000",0.075
46,Russell Okung,2011,LT,SEA,"$1,400,000","$280,000","$8,880,000",0.063
47,Kyle Orton,2011,QB,KC,"$7,379,000",$0,"$8,879,000",0.062
48,Ed Reed,2011,S,BAL,"$6,500,000","$1,071,428","$8,871,428",0.07
49,Charles Woodson,2011,SS,GB,"$7,850,000",$0,"$8,787,500",0.07
50,Tony Gonzalez,2011,TE,ATL,"$5,750,000","$1,000,000","$8,734,375",0.073
51,Andre Smith,2011,G,CIN,"$1,677,500",$0,"$8,686,750",0.064
52,Jason Witten,2011,TE,DAL,"$3,391,000","$3,700,000","$8,591,000",0.063
53,Donald Penn,2011,LT,TB,"$7,200,000","$333,333","$8,533,333",0.059
54,Eric Steinbach,2011,G,CLE,"$6,250,000","$1,666,667","$8,516,667",0.066
55,Justin Smith,2011,DE,SF,"$5,000,000","$2,750,000","$8,450,000",0.062
56,Andrew Whitworth,2011,LT,CIN,"$3,690,000","$2,000,000","$8,390,000",0.062
57,Kellen Winslow,2011,TE,TB,"$8,290,000",$0,"$8,290,000",0.058
58,Troy Polamalu,2011,S,PIT,"$3,450,000","$4,832,500","$8,282,500",0.069
59,Reggie Wayne,2011,WR,IND,"$5,950,000","$2,083,333","$8,273,333",0.067
60,Will Smith,2011,OLB,NO,"$6,000,000","$2,000,000","$8,150,000",0.065
61,Oshiomogho Atogwe,2011,S,WAS,"$900,000",$0,"$8,000,000",0.06
62,Johnathan Joseph,2011,CB,HOU,"$5,500,000","$2,500,000","$8,000,000",0.067
63,Chris Hope,2011,S,TEN,"$6,500,000",$0,"$8,000,000",0.062
64,Trent Williams,2011,LT,WAS,"$6,004,470","$500,000","$7,984,863",0.06
65,Dunta Robinson,2011,CB,ATL,"$5,500,000","$1,400,000","$7,900,000",0.066
66,Greg Jennings,2011,WR,GB,"$3,950,000","$2,812,500","$7,827,500",0.062
67,Jonathan Vilma,2011,ILB,NO,"$5,130,000","$2,082,500","$7,812,500",0.063
68,LaRon Landry,2011,S,WAS,"$5,215,000","$833,333","$7,804,333",0.058
69,Aaron Rodgers,2011,QB,GB,"$7,250,000",$0,"$7,750,000",0.062
70,Dallas Clark,2011,TE,IND,"$4,200,000","$1,833,333","$7,723,333",0.063
71,DeAngelo Williams,2011,RB,CAR,"$4,500,000","$3,200,000","$7,700,000",0.063
72,LaMarr Woodley,2011,OLB,PIT,"$1,100,000","$2,600,000","$7,700,000",0.064
73,Eric Berry,2011,FS,KC,"$450,000",$0,"$7,652,700",0.053
74,Anquan Boldin,2011,WR,BAL,"$6,000,000","$1,531,250","$7,531,250",0.06
75,Michael Turner,2011,RB,ATL,"$5,000,000","$2,500,000","$7,500,000",0.062
76,Richard Seymour,2011,DT,LV/OAK,"$910,000",$0,"$7,478,000",0.061
77,Kevin Williams,2011,DT,MIN,"$6,000,000",$0,"$7,416,666",0.061
78,Travelle Wharton,2011,G,CAR,"$5,400,000","$2,000,000","$7,400,000",0.06
79,Domonique Foxworth,2011,CB,BAL,"$4,400,000","$1,000,000","$7,400,000",0.059
80,Chris Canty,2011,DE,NYG,"$5,250,000","$1,700,000","$7,200,000",0.059
81,Chad Greenway,2011,OLB,MIN,"$5,500,000","$1,700,000","$7,200,000",0.059
82,London Fletcher,2011,ILB,WAS,"$4,900,000","$2,100,000","$7,100,000",0.053
83,Haloti Ngata,2011,DT,BAL,"$2,100,000","$5,000,000","$7,100,000",0.056
84,Casey Hampton,2011,DT,PIT,"$3,910,000","$2,166,667","$7,076,667",0.059
85,Matt Cassel,2011,QB,KC,"$4,750,000","$200,000","$7,075,000",0.049
86,Frank Gore,2011,RB,SF,"$3,900,000","$1,300,000","$7,033,000",0.051
87,Asante Samuel,2011,CB,PHI,"$5,900,000","$1,000,000","$7,000,000",0.053
88,Vernon Davis,2011,TE,SF,"$4,708,000","$1,666,666","$6,974,666",0.051
89,A.J. Hawk,2011,OLB,GB,"$1,150,000","$1,600,000","$6,921,250",0.055
90,Cullen Jenkins,2011,DE,PHI,"$3,875,000",$0,"$6,875,000",0.052
91,Leon Hall,2011,CB,CIN,"$5,037,500","$1,800,000","$6,837,500",0.051
92,Jason Peters,2011,LT,PHI,"$5,900,000","$292,000","$6,834,000",0.052
